"ID_BANDERA","ID_LOCAL","FECHA","MONTO","CANTIDAD","FERIADO","DIA_1","DIA_2","DIA_3","DIA_4","DIA_5","DIA_6","DIA_7","MES_1","MES_2","MES_3","MES_4","MES_5","MES_6","MES_7","MES_8","MES_9","MES_10","MES_11","MES_12"
"B",2,2024-01-08,10305,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-09,14585,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-02,9160,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-22,8015,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-16,8015,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-20,2290,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-29,22200,19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-23,4580,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-05,45889.9966,41,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-17,20009.9982,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-08,10249.9992,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-10,23445,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-12,38029.997,34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-07,17119.9988,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-25,6570,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-14,12294.9994,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-20,43209.9974,38,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-23,21499.9986,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-15,12840,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-13,18809.9984,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-04,16819.9986,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-02,12145,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-27,15730,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-01,25734.9984,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-19,8237.9988,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-19,52669.9956,46,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-22,2289.9998,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-29,3535,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-06,4579.9996,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-03-26,6902,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-01,36570,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-04,15821,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-23,20670,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-02,23468,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-20,4770,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-22,19080,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-24,1590,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-08,28620,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-13,4770,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-05,11130,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-30,15950,11,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-21,7950,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-07,20670,13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-06,4770,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-09,22260,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-12,7950,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-16,29960,25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-29,4350,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-04-24,11600,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-17,10729.9991,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-06,63452,44,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-05-11,42670,37,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-04-27,29000,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-21,10439.9998,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-23,2900,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-13,23200,16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-01,1450,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-19,23200,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-05-05,3590,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-04,28329.9997,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-03,38094.9994,33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-02,8625,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-21,15189.9996,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-23,14740,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-24,28575,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-22,1450,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-25,11755,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-30,7175,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-19,14045,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-10,14049.9998,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-09,5190,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-07,1450,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-31,27730,25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-29,13205,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-26,7480,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-04-26,16704,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-20,30449.9995,23,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-16,11600,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-18,4350,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-12,16529.9996,13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-25,10150,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-07,37409.9997,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-05,11600,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-03-03,12040,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-05-16,15494.9997,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-12,9165,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",1,2024-03-22,9549.9994,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-05-17,11755,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-05-28,12900,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",2,2024-04-29,1450,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-03,3189.9998,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-03-28,7250,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-04-10,5800,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-28,26969.9981,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-13,2900,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-03-03,15900,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-30,2900,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-04-05,2900,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-02,4350,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-12,5800,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-04-06,5800,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-03-29,8700,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-03-19,3180,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-04-11,2900,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-08,12904.9998,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-09,2900,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-03-25,6360,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-04-28,5800,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-14,9569.9999,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-04-04,14500,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-03-27,2900,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-04-02,11019.9994,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",2,2024-03-10,23850,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",2,2024-05-08,6874.9997,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B",1,2024-04-30,29849.9978,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B",1,2024-05-18,25499.9979,22,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"B",1,2024-03-09,11450,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-02,2290,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-01,2290,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-11,2290,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-21,2290,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-25,2290,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B",1,2024-03-17,3435,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
